,0,1,2,3,4,5,6,7,8,9
Casino (1995),Casino (1995),GoodFellas (1990),Cape Fear (1991),Heat (1995),JFK (1991),"Usual Suspects, The (1995)","Devil's Advocate, The (1997)","Firm, The (1993)",Primal Fear (1996),Fargo (1996)
Legends of the Fall (1994),Legends of the Fall (1994),"English Patient, The (1996)","Last of the Mohicans, The (1992)",Braveheart (1995),Jerry Maguire (1996),Forrest Gump (1994),Edward Scissorhands (1990),Dances with Wolves (1990),Rob Roy (1995),Titanic (1997)
Sense and Sensibility (1995),Sense and Sensibility (1995),Emma (1996),Shakespeare in Love (1998),Four Weddings and a Funeral (1994),Titanic (1997),Clueless (1995),Gone with the Wind (1939),Elizabeth (1998),Groundhog Day (1993),Good Will Hunting (1997)
Beloved (1998),Beloved (1998),Mo' Better Blues (1990),"Reluctant Debutante, The (1958)","Last Time I Saw Paris, The (1954)",Madame Sousatzka (1988),Dancing at Lughnasa (1998),Hideous Kinky (1998),Hamlet (1996),"Journey of Natty Gann, The (1985)",Little Buddha (1993)
eXistenZ (1999),eXistenZ (1999),Dark City (1998),Event Horizon (1997),Mimic (1997),Pi (1998),"Cell, The (2000)",Strange Days (1995),Bound (1996),Crash (1996),Starship Troopers (1997)
Jurassic Park (1993),Jurassic Park (1993),Men in Black (1997),Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Total Recall (1990),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode I - The Phantom Menace (1999),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Fugitive, The (1993)"
True Romance (1993),True Romance (1993),Reservoir Dogs (1992),"Nightmare Before Christmas, The (1993)",Platoon (1986),"Crying Game, The (1992)",Basic Instinct (1992),"People vs. Larry Flynt, The (1996)",Trainspotting (1996),To Die For (1995),Pump Up the Volume (1990)
"Man in the Iron Mask, The (1998)","Man in the Iron Mask, The (1998)",Batman Returns (1992),True Lies (1994),"Bodyguard, The (1992)",Congo (1995),"Ghost and the Darkness, The (1996)","Saint, The (1997)",Lethal Weapon 3 (1992),"Mask of Zorro, The (1998)",Speed (1994)
Howards End (1992),Howards End (1992),"Remains of the Day, The (1993)","Joy Luck Club, The (1993)",Sense and Sensibility (1995),"Grifters, The (1990)",Little Women (1994),"Madness of King George, The (1994)",Thelma & Louise (1991),My Left Foot (1989),Good Will Hunting (1997)
Kundun (1997),Kundun (1997),Three Seasons (1999),"Rapture, The (1991)",Washington Square (1997),"Inkwell, The (1994)",Short Cuts (1993),Flawless (1999),Passion Fish (1992),Home for the Holidays (1995),Searching for Bobby Fischer (1993)
Eve's Bayou (1997),Eve's Bayou (1997),Basquiat (1996),Girlfight (2000),Dancer in the Dark (2000),"Last Days of Disco, The (1998)",Michael Collins (1996),Philadelphia (1993),What's Eating Gilbert Grape (1993),What's Love Got to Do with It? (1993),He Got Game (1998)
Great Expectations (1998),Great Expectations (1998),Circle of Friends (1995),How Stella Got Her Groove Back (1998),Jerry Maguire (1996),Leaving Las Vegas (1995),Of Mice and Men (1992),Far and Away (1992),City of Angels (1998),She's the One (1996),Notting Hill (1999)
High Fidelity (2000),High Fidelity (2000),Magnolia (1999),Almost Famous (2000),American Beauty (1999),"Usual Suspects, The (1995)",Edward Scissorhands (1990),Election (1999),Pulp Fiction (1994),Being John Malkovich (1999),Dogma (1999)
Shakespeare in Love (1998),Shakespeare in Love (1998),American Beauty (1999),Groundhog Day (1993),Being John Malkovich (1999),"Sixth Sense, The (1999)",Toy Story (1995),"Shawshank Redemption, The (1994)",Ghostbusters (1984),"Princess Bride, The (1987)",Fargo (1996)
"General's Daughter, The (1999)","General's Daughter, The (1999)",Entrapment (1999),Double Jeopardy (1999),"Bone Collector, The (1999)","Talented Mr. Ripley, The (1999)",Arlington Road (1999),Pacific Heights (1990),Austin Powers: The Spy Who Shagged Me (1999),"Thomas Crown Affair, The (1999)",Pushing Tin (1999)
"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The (1994)","Opposite of Sex, The (1998)",Muriel's Wedding (1994),"Commitments, The (1991)",As Good As It Gets (1997),Six Degrees of Separation (1993),Thelma & Louise (1991),Strictly Ballroom (1992),Raising Arizona (1987),Four Weddings and a Funeral (1994)
Apt Pupil (1998),Apt Pupil (1998),"Gingerbread Man, The (1998)",Eye for an Eye (1996),True Crime (1999),Volcano (1997),"Fan, The (1996)",Crash (1996),Blink (1994),Red Corner (1997),Ransom (1996)
Powder (1995),Powder (1995),"Sixth Sense, The (1999)",Pacific Heights (1990),American Pie (1999),Who Framed Roger Rabbit? (1988),Mystery Men (1999),Wild Wild West (1999),Arachnophobia (1990),"Matrix, The (1999)","Thomas Crown Affair, The (1999)"
Leaving Las Vegas (1995),Leaving Las Vegas (1995),Jerry Maguire (1996),"People vs. Larry Flynt, The (1996)",Trainspotting (1996),Schindler's List (1993),Fargo (1996),Pulp Fiction (1994),Quiz Show (1994),"Shawshank Redemption, The (1994)",Clueless (1995)
Clear and Present Danger (1994),Clear and Present Danger (1994),Patriot Games (1992),"Rock, The (1996)","Hunt for Red October, The (1990)",Die Hard 2 (1990),Enemy of the State (1998),Die Hard: With a Vengeance (1995),True Lies (1994),Speed (1994),Mission: Impossible (1996)
Welcome to the Dollhouse (1995),Welcome to the Dollhouse (1995),Stranger Than Paradise (1984),"War Room, The (1993)",Glengarry Glen Ross (1992),Normal Life (1996),Basic Instinct (1992),Deconstructing Harry (1997),Repulsion (1965),One False Move (1991),King of the Hill (1993)
American History X (1998),American History X (1998),Fight Club (1999),Three Kings (1999),Quiz Show (1994),Trainspotting (1996),Boogie Nights (1997),Pulp Fiction (1994),Schindler's List (1993),GoodFellas (1990),Good Will Hunting (1997)
Primary Colors (1998),Primary Colors (1998),"People vs. Larry Flynt, The (1996)",Wag the Dog (1997),JFK (1991),Nixon (1995),"Truman Show, The (1998)","Firm, The (1993)",Philadelphia (1993),Quiz Show (1994),Apollo 13 (1995)
Mission to Mars (2000),Mission to Mars (2000),Pitch Black (2000),X-Men (2000),Frequency (2000),Gone in 60 Seconds (2000),"Lost World: Jurassic Park, The (1997)",Sphere (1998),Deep Impact (1998),Starship Troopers (1997),"Fifth Element, The (1997)"
Being John Malkovich (1999),Being John Malkovich (1999),American Beauty (1999),Election (1999),Shakespeare in Love (1998),"Sixth Sense, The (1999)",Fargo (1996),Pulp Fiction (1994),L.A. Confidential (1997),Clerks (1994),Rushmore (1998)
"Deer Hunter, The (1978)","Deer Hunter, The (1978)",Apocalypse Now (1979),Taxi Driver (1976),"Killing Fields, The (1984)","Godfather: Part II, The (1974)","Godfather, The (1972)",Schindler's List (1993),GoodFellas (1990),Raging Bull (1980),Deliverance (1972)
10 Things I Hate About You (1999),10 Things I Hate About You (1999),Never Been Kissed (1999),She's All That (1999),American Pie (1999),Austin Powers: The Spy Who Shagged Me (1999),Big Daddy (1999),Romy and Michele's High School Reunion (1997),Can't Hardly Wait (1998),Office Space (1999),"Wedding Singer, The (1998)"
Spaceballs (1987),Spaceballs (1987),Back to the Future Part II (1989),"Honey, I Shrunk the Kids (1989)",Mars Attacks! (1996),Three Amigos! (1986),Tron (1982),Scrooged (1988),Cocoon (1985),Star Trek: The Motion Picture (1979),Weird Science (1985)
Broadcast News (1987),Broadcast News (1987),"Big Chill, The (1983)",Terms of Endearment (1983),When Harry Met Sally... (1989),Radio Days (1987),"Purple Rose of Cairo, The (1985)",Prizzi's Honor (1985),Do the Right Thing (1989),Ferris Bueller's Day Off (1986),"Right Stuff, The (1983)"
"13th Warrior, The (1999)","13th Warrior, The (1999)","Saint, The (1997)",Blade (1998),"Mummy, The (1999)",Lake Placid (1999),"Long Kiss Goodnight, The (1996)",Payback (1999),Arachnophobia (1990),"Abyss, The (1989)",Mystery Men (1999)
"Sixth Sense, The (1999)","Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)","Usual Suspects, The (1995)",Fargo (1996),Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",Terminator 2: Judgment Day (1991),L.A. Confidential (1997),Star Wars: Episode IV - A New Hope (1977)
Big Daddy (1999),Big Daddy (1999),Austin Powers: The Spy Who Shagged Me (1999),American Pie (1999),Cruel Intentions (1999),Bowfinger (1999),Tommy Boy (1995),Kingpin (1996),Dumb & Dumber (1994),Arachnophobia (1990),Office Space (1999)
"Breakfast Club, The (1985)","Breakfast Club, The (1985)",Ferris Bueller's Day Off (1986),Sixteen Candles (1984),"Good Morning, Vietnam (1987)",Stand by Me (1986),Big (1988),Beetlejuice (1988),Lethal Weapon (1987),Parenthood (1989),Back to the Future (1985)
Who Framed Roger Rabbit? (1988),Who Framed Roger Rabbit? (1988),Ghostbusters (1984),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983),Indiana Jones and the Last Crusade (1989),Batman (1989),"Sixth Sense, The (1999)","Princess Bride, The (1987)"
Baby Geniuses (1999),Baby Geniuses (1999),Dunston Checks In (1996),Jack Frost (1998),Dudley Do-Right (1999),Inspector Gadget (1999),Mighty Morphin Power Rangers: The Movie (1995),Doctor Dolittle (1998),Austin Powers: The Spy Who Shagged Me (1999),"King and I, The (1999)",Saludos Amigos (1943)
"Love Letter, The (1999)","Love Letter, The (1999)",Hope Floats (1998),Mickey Blue Eyes (1999),Never Been Kissed (1999),You've Got Mail (1998),Return to Me (2000),Pushing Tin (1999),She's All That (1999),Best Laid Plans (1999),"Bachelor, The (1999)"
She's All That (1999),She's All That (1999),10 Things I Hate About You (1999),Never Been Kissed (1999),Cruel Intentions (1999),Runaway Bride (1999),Mickey Blue Eyes (1999),American Pie (1999),Can't Hardly Wait (1998),Romy and Michele's High School Reunion (1997),Austin Powers: The Spy Who Shagged Me (1999)
Wild Wild West (1999),Wild Wild West (1999),Who Framed Roger Rabbit? (1988),Deep Blue Sea (1999),Men in Black (1997),"Lost World: Jurassic Park, The (1997)",Mystery Men (1999),Armageddon (1998),"Thomas Crown Affair, The (1999)",Face/Off (1997),Lost in Space (1998)
"Mod Squad, The (1999)","Mod Squad, The (1999)",Deep Blue Sea (1999),Stigmata (1999),Payback (1999),Cruel Intentions (1999),Doctor Dolittle (1998),American Pie (1999),"General's Daughter, The (1999)",Kingpin (1996),Entrapment (1999)
"Bachelor, The (1999)","Bachelor, The (1999)",Never Been Kissed (1999),Runaway Bride (1999),Picture Perfect (1997),Mickey Blue Eyes (1999),Random Hearts (1999),Best Laid Plans (1999),Teaching Mrs. Tingle (1999),Kissing a Fool (1998),"Love Letter, The (1999)"
Arsenic and Old Lace (1944),Arsenic and Old Lace (1944),"Philadelphia Story, The (1940)",Bringing Up Baby (1938),"African Queen, The (1951)",Casablanca (1942),Butch Cassidy and the Sundance Kid (1969),Blazing Saddles (1974),Mister Roberts (1955),North by Northwest (1959),American Graffiti (1973)
Lake Placid (1999),Lake Placid (1999),Urban Legend (1998),"Haunting, The (1999)",I Know What You Did Last Summer (1997),Deep Blue Sea (1999),Deep Rising (1998),I Still Know What You Did Last Summer (1998),"Faculty, The (1998)","Craft, The (1996)",Bride of Chucky (1998)
Doctor Dolittle (1998),Doctor Dolittle (1998),Austin Powers: The Spy Who Shagged Me (1999),Never Been Kissed (1999),Romy and Michele's High School Reunion (1997),American Pie (1999),Big Daddy (1999),Mickey Blue Eyes (1999),Who Framed Roger Rabbit? (1988),Wild Wild West (1999),Back to the Future Part III (1990)
"Bell, Book and Candle (1958)","Bell, Book and Candle (1958)",Niagara (1953),Tender Mercies (1983),Pork Chop Hill (1959),American Pop (1981),"Mosquito Coast, The (1986)",Desperately Seeking Susan (1985),"Run Silent, Run Deep (1958)",Arsenic and Old Lace (1944),"Two Jakes, The (1990)"
Superman IV: The Quest for Peace (1987),Superman IV: The Quest for Peace (1987),Superman III (1983),Superman II (1980),Rambo III (1988),Sudden Death (1995),Cocoon: The Return (1988),Star Trek V: The Final Frontier (1989),"Three Musketeers, The (1993)",Police Academy 2: Their First Assignment (1985),Popeye (1980)
Creepshow (1982),Creepshow (1982),Friday the 13th (1980),Pet Sematary (1989),Cujo (1983),Phantasm (1979),Halloween II (1981),Child's Play (1988),Cat's Eye (1985),Christine (1983),"Craft, The (1996)"
Inspector Gadget (1999),Inspector Gadget (1999),Dudley Do-Right (1999),"Honey, I Shrunk the Kids (1989)",Doctor Dolittle (1998),"Flintstones, The (1994)",Wild Wild West (1999),Jack Frost (1998),Who Framed Roger Rabbit? (1988),Super Mario Bros. (1993),Home Alone 3 (1997)
Deep Blue Sea (1999),Deep Blue Sea (1999),Lake Placid (1999),Arachnophobia (1990),Anaconda (1997),"Haunting, The (1999)","Faculty, The (1998)",Face/Off (1997),Wild Wild West (1999),Demolition Man (1993),Predator 2 (1990)
Mystery Men (1999),Mystery Men (1999),Men in Black (1997),Mars Attacks! (1996),Army of Darkness (1993),Who Framed Roger Rabbit? (1988),"Fifth Element, The (1997)",Batman Returns (1992),"Sixth Sense, The (1999)",Romy and Michele's High School Reunion (1997),Arachnophobia (1990)
Runaway Bride (1999),Runaway Bride (1999),My Best Friend's Wedding (1997),Mickey Blue Eyes (1999),You've Got Mail (1998),Never Been Kissed (1999),She's All That (1999),Double Jeopardy (1999),Notting Hill (1999),Hope Floats (1998),Pretty Woman (1990)
Never Been Kissed (1999),Never Been Kissed (1999),10 Things I Hate About You (1999),She's All That (1999),Romy and Michele's High School Reunion (1997),Austin Powers: The Spy Who Shagged Me (1999),Mickey Blue Eyes (1999),Runaway Bride (1999),Doctor Dolittle (1998),Big Daddy (1999),Pushing Tin (1999)
Mickey Blue Eyes (1999),Mickey Blue Eyes (1999),Runaway Bride (1999),Never Been Kissed (1999),Austin Powers: The Spy Who Shagged Me (1999),She's All That (1999),Double Jeopardy (1999),"Thomas Crown Affair, The (1999)",Doctor Dolittle (1998),"General's Daughter, The (1999)",Entrapment (1999)
Dudley Do-Right (1999),Dudley Do-Right (1999),"King and I, The (1999)",Buddy (1997),Bogus (1996),"Little Rascals, The (1994)",Inspector Gadget (1999),Homeward Bound II: Lost in San Francisco (1996),Andre (1994),Zeus and Roxanne (1997),Air Bud (1997)
Austin Powers: The Spy Who Shagged Me (1999),Austin Powers: The Spy Who Shagged Me (1999),American Pie (1999),Big Daddy (1999),Kingpin (1996),Romy and Michele's High School Reunion (1997),Austin Powers: International Man of Mystery (1997),Who Framed Roger Rabbit? (1988),Clerks (1994),Arachnophobia (1990),Ghostbusters (1984)
"Iron Giant, The (1999)","Iron Giant, The (1999)",Beauty and the Beast (1991),James and the Giant Peach (1996),Chicken Run (2000),Toy Story (1995),Toy Story 2 (1999),Who Framed Roger Rabbit? (1988),Antz (1998),Peter Pan (1953),"Lion King, The (1994)"
For Your Eyes Only (1981),For Your Eyes Only (1981),Licence to Kill (1989),"Spy Who Loved Me, The (1977)",Live and Let Die (1973),"Man with the Golden Gun, The (1974)",Moonraker (1979),Thunderball (1965),Superman II (1980),On Her Majesty's Secret Service (1969),Conan the Barbarian (1982)
Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode I - The Phantom Menace (1999),Men in Black (1997),Jurassic Park (1993),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Star Trek: First Contact (1996),"Fifth Element, The (1997)",Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode V - The Empire Strikes Back (1980),Mission: Impossible (1996)
"Wings of the Dove, The (1997)","Wings of the Dove, The (1997)",Tango (1998),Howards End (1992),"Age of Innocence, The (1993)",Sense and Sensibility (1995),Afterglow (1997),Ulee's Gold (1997),"Sweet Hereafter, The (1997)",Playing by Heart (1998),"Piano, The (1993)"
Anastasia (1997),Anastasia (1997),"Hunchback of Notre Dame, The (1996)",Beauty and the Beast (1991),"Muppet Christmas Carol, The (1992)","Fox and the Hound, The (1981)",Mulan (1998),Muppet Treasure Island (1996),Pocahontas (1995),Hercules (1997),"Rescuers Down Under, The (1990)"
All Dogs Go to Heaven (1989),All Dogs Go to Heaven (1989),Robin Hood (1973),101 Dalmatians (1961),"Fox and the Hound, The (1981)",That Darn Cat! (1965),Aladdin and the King of Thieves (1996),"Rescuers Down Under, The (1990)","Sword in the Stone, The (1963)","Rescuers, The (1977)","Mighty Ducks, The (1992)"
Hocus Pocus (1993),Hocus Pocus (1993),Home Alone 3 (1997),That Darn Cat! (1965),"Little Rascals, The (1994)",Richie Rich (1994),That Darn Cat! (1997),"Beverly Hillbillies, The (1993)",Problem Child (1990),"Rescuers Down Under, The (1990)","Cat from Outer Space, The (1978)"
"Honey, I Shrunk the Kids (1989)","Honey, I Shrunk the Kids (1989)","NeverEnding Story, The (1984)",Spaceballs (1987),Back to the Future Part III (1990),Back to the Future Part II (1989),Tron (1982),Cocoon (1985),Superman II (1980),Mars Attacks! (1996),"Honey, I Blew Up the Kid (1992)"
Thunderball (1965),Thunderball (1965),Dr. No (1962),From Russia with Love (1963),Goldfinger (1964),"Man with the Golden Gun, The (1974)","Spy Who Loved Me, The (1977)",On Her Majesty's Secret Service (1969),For Your Eyes Only (1981),Live and Let Die (1973),Moonraker (1979)
My Left Foot (1989),My Left Foot (1989),Dangerous Liaisons (1988),"Sex, Lies, and Videotape (1989)","Right Stuff, The (1983)",Raging Bull (1980),On Golden Pond (1981),Gandhi (1982),"Killing Fields, The (1984)",Rain Man (1988),Chariots of Fire (1981)
Stand by Me (1986),Stand by Me (1986),Ferris Bueller's Day Off (1986),"Breakfast Club, The (1985)",Back to the Future (1985),Star Wars: Episode V - The Empire Strikes Back (1980),Raising Arizona (1987),"Princess Bride, The (1987)","Wizard of Oz, The (1939)",Raiders of the Lost Ark (1981),Airplane! (1980)
"Sex, Lies, and Videotape (1989)","Sex, Lies, and Videotape (1989)",Raging Bull (1980),"Elephant Man, The (1980)","Big Chill, The (1983)",Radio Days (1987),Gandhi (1982),Drugstore Cowboy (1989),"Color of Money, The (1986)",GoodFellas (1990),Do the Right Thing (1989)
